Movie ID,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,Unknown,War,Western,(no genres listed),User ID,Age,Gender,Occupation,Zipcode,Rating
b'3107',1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'130',35,1,18,b'50021',5
b'2114',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3829',25,0,0,b'22307',4
b'256',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'1265',18,0,21,b'49321',1
b'1389',1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'2896',18,1,14,b'60073',5
b'3635',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5264',18,1,17,b'15217',4
b'2042',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'4957',25,1,1,b'48197',2
b'2289',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5294',25,1,1,b'60626',4
b'3334',0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,b'2064',35,1,0,b'01020',5
b'2901',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,b'4121',45,1,6,b'08876',3
b'1206',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'3010',25,1,12,b'78759',4
b'3163',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'2173',50,1,13,b'87502',4
b'2348',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1019',35,1,0,b'60640',4
b'112',1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3942',18,1,17,b'49855',3
b'2369',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'5673',35,0,0,b'55417',4
b'1409',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'1100',25,1,11,b'60090',1
b'288',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,b'1902',25,1,20,b'93536',5
b'586',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'595',25,1,6,b'10019',4
b'1197',1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'2804',35,0,11,b'46234',5
b'2502',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'1457',25,1,0,b'95472',4
b'2',0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,b'3887',18,1,17,b'80513',3
b'1717',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,b'329',35,1,6,b'02115',2
b'2329',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3842',35,0,16,b'92054',4
b'2527',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,b'4104',18,1,16,b'42141',4
b'344',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'4258',25,1,18,b'19711',4
b'2455',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,b'1835',25,1,20,b'11501',5
b'2640',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'2756',18,1,17,b'97331',4
b'1179',0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,b'124',56,1,6,b'91356',5
b'3481',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1602',25,0,6,b'10562',4
b'1073',0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,b'912',35,0,1,b'91324',3
b'1193',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3589',45,0,11,b'80010',1
b'344',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5083',25,1,17,b'16803',2
b'1385',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1333',25,1,18,b'06460',4
b'362',0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'4285',35,1,11,b'62704',4
b'2762',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,b'2262',45,1,18,b'48116',4
b'1262',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,b'1545',25,1,21,b'20009',3
b'982',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'2247',45,1,1,b'60613',5
b'1288',0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,b'1758',25,0,11,b'33067-1400',5
b'2100',0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,b'5698',35,1,14,b'55418',3
b'2265',0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1184',25,0,17,b'92354',3
b'1964',0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,b'3108',50,1,4,b'22039',4
b'1320',1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,b'4102',1,1,17,b'48655',2
b'1175',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'4356',35,1,16,b'85730',3
b'2002',1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5501',25,1,1,b'33334',3
b'3524',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'3107',25,1,18,b'92656',3
b'232',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1181',35,1,6,b'20716',3
b'1580',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'1362',35,1,12,b'75069',3
b'25',0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,b'4728',25,1,20,b'31401',4
b'3252',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3669',25,1,14,b'60148',3
b'2391',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,b'3483',45,0,6,b'30260',4
b'1203',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3475',25,1,14,b'33133',3
b'2396',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'3071',25,1,0,b'02115',3
b'832',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b'2628',25,0,1,b'11217',1
b'2145',0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,b'5096',25,1,9,b'75206',3
b'2115',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1274',45,1,6,b'37343',3
b'2003',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'3665',25,1,11,b'95903',2
b'3421',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5333',25,0,6,b'02332',4
b'3396',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5153',25,1,6,b'60046',3
b'1240',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,b'3205',35,0,16,b'80304',5
