name,neighborhood,address,x,y
SAUTE,Canton,"2844 HUDSON ST
Baltimore, MD",980,936
#1 CHINESE KITCHEN,Hampden,"3998 ROLAND AVE
Baltimore, MD",409,310
#1 chinese restaurant,Millhill,"2481 frederick ave
Baltimore, MD",456,389
19TH HOLE,Clifton Park,"2722 HARFORD RD
Baltimore, MD",891,89
3 KINGS,McElderry Park,"2510 MCELDERRY ST
Baltimore, MD",836,706
"3 MILES HOUSE, INC.",Remington,"2701 MILES AVE
Baltimore, MD",875,151
3 W'S TAVERN,McElderry Park,"2518 MONUMENT ST
Baltimore, MD",645,822
300 SOUTH ANN STREET,Upper Fells Point,"300 ANN ST
Baltimore, MD",119,404
438 CLUB,Curtis Bay,"1600 HAZEL ST
Baltimore, MD",923,86
5-MILE HOUSE,Woodmere,"5302 REISTERSTOWN RD
Baltimore, MD",607,722
"743 S. MONTFORD,INC.",Canton,"743 MONTFORD ST
Baltimore, MD",786,599
A & W RESTAURANT,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD",394,305
A TASTE OF CHINA,Downtown,"219 BALTIMORE ST
Baltimore, MD",222,683
ABACROMBIE FINE FOODS,Mid-Town Belvedere,"58 BIDDLE STREET
Baltimore, MD",759,690
ABC SUSHI,Middle East,"2003 MONUMENT ST
Baltimore, MD",521,629
ACROPOLIS RESTAURANT,Greektown,"4718 EASTERN AVE
Baltimore, MD",96,884
ADMIRAL FELL INN,Fells Point,"818 BROADWAY
Baltimore, MD",946,70
AG & HARP'S,Morrell Park,"2522 WASHINGTON BLVD
Baltimore, MD",197,598
"AIRPORT BAR & GRILL, INC.",Saint Helena,"6500 RIVERVIEW AVE
Baltimore, MD",628,463
AKBAR RESTAURANT,Mount Vernon,"823 CHARLES ST
Baltimore, MD",409,211
"AKDEY SUBWAY, INC.",Millhill,"2407 FREDERICK AVE
Baltimore, MD",496,479
ALDO'S   RESTAURANT,Little Italy,"306 HIGH ST
Baltimore, MD",340,126
ALE MARY'S,Fells Point,"1939 FLEET ST
Baltimore, MD",244,336
ALEXANDER'S TAVERN,Fells Point,"710 BROADWAY
Baltimore, MD",170,508
ALFEO'S,Mondawmin,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD",913,446
AL-HO CLUB,Booth-Boyd,"2105 FREDERICK AVE
Baltimore, MD",665,997
BAY ATLANTIC CLUB,Downtown,"206 REDWOOD ST
Baltimore, MD",563,817
BAY CAFE,Canton,"2809 BOSTON ST
Baltimore, MD",405,149
BEACH  BUMS CAFÂ,Federal Hill,"1038 LIGHT ST
Baltimore, MD",705,995
BECKER'S TAVERN,Baltimore Highlands,"3820 PRATT ST
Baltimore, MD",90,564
BEDROCK,Downtown,"401 BALTIMORE ST
Baltimore, MD",709,324
BEDROCK (KITCHEN AREA),Downtown,"401 BALTIMORE ST
Baltimore, MD",568,88
BELAIR PUB,Glenham-Belford,"5860 BELAIR RD
Baltimore, MD",804,307
BELT STREET PUB,Riverside,"1747 BELT ST
Baltimore, MD",657,111
BELVEDERE TOWERS CAFÂ,Roland Park,"1190 NORTHERN PKWY
Baltimore, MD",861,261
"BERGER'S TAVERN, INCORPORATED",Waltherson,"5523 BELAIR RD
Baltimore, MD",26,562
BERMUDA BAR,Broadway East,"1801 NORTH AVE
Baltimore, MD",491,976
BERTHA'S RESTAURANT,Fells Point,"734 BROADWAY
Baltimore, MD",464,898
BERT'S EATS & DRINKS (3103-05),Charles Village,"3105 ST PAUL ST
Baltimore, MD",478,524
BEST WESTERN TRAVEL PLAZA,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD",300,68
BIG APPLE TREE CAFÂ,Downtown,"300 BALTIMORE ST
Baltimore, MD",130,407
BIG BAD WOLF'S HOUSE OF BARBEQUE,Harford-Echodale/Perring Parkway,"5713 HARFORD RD
Baltimore, MD",362,477
BIG KAHUNA CANTINA,Inner Harbor,"301 LIGHT ST
Baltimore, MD",462,135
BIG TEE'S BAR & GRILL,Greektown,"300 OLDHAM ST
Baltimore, MD",999,290
BILL'S 60'S & 70'S CLUB,Hollins Market,"1000 LOMBARD ST
Baltimore, MD",939,799
BILL'S CAFE,Graceland Park,"6701 HOLABIRD AVE
Baltimore, MD",127,811
BILL'S LIGHTHOUSE INN,Riverside,"1741 LIGHT ST
Baltimore, MD",618,279
BILTMORE SUITES HOTEL,Mount Vernon,"205 MADISON ST
Baltimore, MD",193,432
BIRCHES RESTAURANT,Canton,"641 MONTFORD AVE
Baltimore, MD",185,13
BIRDS OF A FEATHER,Fells Point,"1712 ALICEANNA ST
Baltimore, MD",967,459
"BLACKTIE SERVICE, LLP",Seton Business Park,"4700 MT HOPE DR
Baltimore, MD",115,7
BLACKTIE SERVICES,Woodberry,"3725 MALDEN AVE
Baltimore, MD",253,274
BLARNEY STONE INN,Brooklyn,"3915 HANOVER ST
Baltimore, MD",516,645
BLARNEY STONE PUB,Fells Point,"704 BROADWAY
Baltimore, MD",17,944
BLEACHERS,Canton,"2501 FLEET ST
Baltimore, MD",814,78
ALLEN RESTAURANT,Waltherson,"5621 BELAIR RD
Baltimore, MD",936,115
ALOHA TOKYO,Locust Point Industrial Area,"1120 FORT AVE
Baltimore, MD",928,294
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,Evergreen,"415 COLD SPRING LN
Baltimore, MD",162,689
AMBASSADOR DINNING ROOM,Tuscany-Canterbury,"3811 CANTERBURY RD
Baltimore, MD",583,262
AMBROSIA'S,Cherry Hill,"1810 CHERRY HILL RD
Baltimore, MD",835,986
AMERICAN FOOD SERVICE,Hollins Market,"901 PRATT ST
Baltimore, MD",335,374
AMERICAN LEGION FEDERAL POST #19,Madison Park,"1502 MADISON AVE
Baltimore, MD",361,621
