id,date,store_nbr,family,sales,onpromotion
0,1/1/2013,1,AUTOMOTIVE,0,0
1,1/1/2013,1,BABY CARE,0,0
2,1/1/2013,1,BEAUTY,0,0
3,1/1/2013,1,BEVERAGES,0,0
4,1/1/2013,1,BOOKS,0,0
5,1/1/2013,1,BREAD/BAKERY,0,0
6,1/1/2013,1,CELEBRATION,0,0
7,1/1/2013,1,CLEANING,0,0
8,1/1/2013,1,DAIRY,0,0
9,1/1/2013,1,DELI,0,0
10,1/1/2013,1,EGGS,0,0
11,1/1/2013,1,FROZEN FOODS,0,0
12,1/1/2013,1,GROCERY I,0,0
13,1/1/2013,1,GROCERY II,0,0
14,1/1/2013,1,HARDWARE,0,0
15,1/1/2013,1,HOME AND KITCHEN I,0,0
16,1/1/2013,1,HOME AND KITCHEN II,0,0
17,1/1/2013,1,HOME APPLIANCES,0,0
18,1/1/2013,1,HOME CARE,0,0
19,1/1/2013,1,LADIESWEAR,0,0
20,1/1/2013,1,LAWN AND GARDEN,0,0
21,1/1/2013,1,LINGERIE,0,0
22,1/1/2013,1,"LIQUOR,WINE,BEER",0,0
23,1/1/2013,1,MAGAZINES,0,0
24,1/1/2013,1,MEATS,0,0
25,1/1/2013,1,PERSONAL CARE,0,0
26,1/1/2013,1,PET SUPPLIES,0,0
27,1/1/2013,1,PLAYERS AND ELECTRONICS,0,0
28,1/1/2013,1,POULTRY,0,0
29,1/1/2013,1,PREPARED FOODS,0,0
30,1/1/2013,1,PRODUCE,0,0
31,1/1/2013,1,SCHOOL AND OFFICE SUPPLIES,0,0
32,1/1/2013,1,SEAFOOD,0,0
33,1/1/2013,10,AUTOMOTIVE,0,0
34,1/1/2013,10,BABY CARE,0,0
35,1/1/2013,10,BEAUTY,0,0
36,1/1/2013,10,BEVERAGES,0,0
37,1/1/2013,10,BOOKS,0,0
38,1/1/2013,10,BREAD/BAKERY,0,0
39,1/1/2013,10,CELEBRATION,0,0
40,1/1/2013,10,CLEANING,0,0
41,1/1/2013,10,DAIRY,0,0
42,1/1/2013,10,DELI,0,0
43,1/1/2013,10,EGGS,0,0
44,1/1/2013,10,FROZEN FOODS,0,0
45,1/1/2013,10,GROCERY I,0,0
46,1/1/2013,10,GROCERY II,0,0
47,1/1/2013,10,HARDWARE,0,0
48,1/1/2013,10,HOME AND KITCHEN I,0,0
49,1/1/2013,10,HOME AND KITCHEN II,0,0
50,1/1/2013,10,HOME APPLIANCES,0,0
51,1/1/2013,10,HOME CARE,0,0
52,1/1/2013,10,LADIESWEAR,0,0
53,1/1/2013,10,LAWN AND GARDEN,0,0
54,1/1/2013,10,LINGERIE,0,0
55,1/1/2013,10,"LIQUOR,WINE,BEER",0,0
56,1/1/2013,10,MAGAZINES,0,0
57,1/1/2013,10,MEATS,0,0
