,source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
0,Google Play,816d9c3a-203b-456c-8bd3-3df6600d37a7,Aziq Firdauz,,Nice,4,0,2024-05-12 11:51:27,"We're happy to hear that you're enjoying Shopee, Aziq Firdauz! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat, Email or Free Internet Call.",2024-05-12 12:10:04,3.24.17,id,id
1,Google Play,6fe7c3b5-d2ac-4b7e-9b6c-91d4e9782472,Muhammad Iqbal,,Oke,5,0,2024-05-12 11:03:06,"Kami gembira mendengar ulasan ini Muhammad Iqbal! Maklum balas positif memberi motivasi untuk kami terus memberikan anda pengalaman terbaik.
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat, E-mel, atau Panggilan Internet.",2024-05-12 12:43:34,,id,id
2,Google Play,09e726b8-4919-4198-9d0a-df16136bebb0,Bhabun Niam,,ok,5,0,2024-05-11 18:00:20,"We're happy to hear that you're enjoying Shopee, Bhabun Niam! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat, Email or Free Internet Call.",2024-05-11 18:10:32,3.24.17,id,id
3,Google Play,efa39124-f66c-4cd8-83c0-bdf53028a6de,Albertus Bria,,Yang tebaiklah,5,0,2024-05-11 17:48:57,"Kami gembira mendengar ulasan ini Albertus Bria! Maklum balas positif memberi motivasi untuk kami terus memberikan anda pengalaman terbaik.
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat, E-mel, atau Panggilan Internet.",2024-05-11 18:18:31,3.24.17,id,id
4,Google Play,84494fb7-f19c-439f-b7b4-1a5ba5dd9eb2,Bujang Lasak,,"Best of the best ollshop,,,,",5,0,2024-05-11 16:34:38,"We're happy to hear that you're enjoying Shopee, Bujang Lasak! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat, Email or Free Internet Call.",2024-05-11 18:20:09,3.24.17,id,id
5,Google Play,4224edec-9c50-4c0c-82f1-fcd717a74a91,Sulisna Santi,,Sangat bagus aplikasi ini,5,0,2024-05-11 15:09:02,"Kami gembira mendengar ulasan ini Sulisna Santi! Maklum balas positif memberi motivasi untuk kami terus memberikan anda pengalaman terbaik.
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat, E-mel, atau Panggilan Internet.",2024-05-11 16:17:24,3.24.17,id,id
6,Google Play,1c14df84-cda6-4f7b-b475-ec091bfd56be,Achmad Nadif,,Puas hati,3,0,2024-05-10 22:51:02,"Kami gembira mendengar ulasan ini Achmad Nadif! Maklum balas positif memberi motivasi untuk kami terus memberikan anda pengalaman terbaik.
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat, E-mel, atau Panggilan Internet.",2024-05-10 23:08:54,3.25.11,id,id
7,Google Play,d8ba7fb6-720d-46e3-bd45-e3a2f1418ad9,Memet Superboy,,"Niceeeeeeeee ,",5,0,2024-05-10 20:48:36,"We're happy to hear that you're enjoying Shopee, Memet Superboy! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat, Email or Free Internet Call.",2024-05-10 21:09:45,3.04.10,id,id
8,Google Play,7e91f1b5-9256-4d29-9476-3df582fa1db4,Dewi Arsik,,Mantap,5,0,2024-05-10 20:44:07,"Kami gembira mendengar ulasan ini Dewi Arsik! Maklum balas positif memberi motivasi untuk kami terus memberikan anda pengalaman terbaik.
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat, E-mel, atau Panggilan Internet.",2024-05-10 21:07:43,,id,id
9,Google Play,e640e13e-54f4-41a4-8a1a-b6b9370fcc39,Nur Cahaya,,Nice app,5,0,2024-05-10 14:55:25,"We're happy to hear that you're enjoying Shopee, Nur Cahaya! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat, Email or Free Internet Call.",2024-05-10 15:45:52,3.24.17,id,id
